
Dafny program verifier finished with 15 verified, 0 errors
=== GACHA PULL ECONOMY ===
PrimosPerPull:160 | Expected5star:63 pulls | ExpectedFeatured:94 pulls | WorstCase:180 pulls
F2P monthly: 2600 primos = 16 pulls

Pulls:1 | Primos:160 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:2 | Primos:320 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:3 | Primos:480 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:4 | Primos:640 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:5 | Primos:800 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:6 | Primos:960 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:7 | Primos:1120 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:8 | Primos:1280 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:9 | Primos:1440 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:10 | Primos:1600 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:11 | Primos:1760 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:12 | Primos:1920 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:13 | Primos:2080 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:14 | Primos:2240 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:15 | Primos:2400 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:16 | Primos:2560 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:17 | Primos:2720 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:18 | Primos:2880 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:19 | Primos:3040 | Exp5star:0 | Exp4star:1 | HardPity:no
Pulls:20 | Primos:3200 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:21 | Primos:3360 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:22 | Primos:3520 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:23 | Primos:3680 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:24 | Primos:3840 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:25 | Primos:4000 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:26 | Primos:4160 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:27 | Primos:4320 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:28 | Primos:4480 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:29 | Primos:4640 | Exp5star:0 | Exp4star:2 | HardPity:no
Pulls:30 | Primos:4800 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:31 | Primos:4960 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:32 | Primos:5120 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:33 | Primos:5280 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:34 | Primos:5440 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:35 | Primos:5600 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:36 | Primos:5760 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:37 | Primos:5920 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:38 | Primos:6080 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:39 | Primos:6240 | Exp5star:0 | Exp4star:3 | HardPity:no
Pulls:40 | Primos:6400 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:41 | Primos:6560 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:42 | Primos:6720 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:43 | Primos:6880 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:44 | Primos:7040 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:45 | Primos:7200 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:46 | Primos:7360 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:47 | Primos:7520 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:48 | Primos:7680 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:49 | Primos:7840 | Exp5star:0 | Exp4star:4 | HardPity:no
Pulls:50 | Primos:8000 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:51 | Primos:8160 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:52 | Primos:8320 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:53 | Primos:8480 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:54 | Primos:8640 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:55 | Primos:8800 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:56 | Primos:8960 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:57 | Primos:9120 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:58 | Primos:9280 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:59 | Primos:9440 | Exp5star:0 | Exp4star:5 | HardPity:no
Pulls:60 | Primos:9600 | Exp5star:0 | Exp4star:6 | HardPity:no
Pulls:61 | Primos:9760 | Exp5star:0 | Exp4star:6 | HardPity:no
Pulls:62 | Primos:9920 | Exp5star:0 | Exp4star:6 | HardPity:no
Pulls:63 | Primos:10080 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:64 | Primos:10240 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:65 | Primos:10400 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:66 | Primos:10560 | Exp5star:1 | Exp4star:5 | HardPity:no
