
Dafny program verifier finished with 9 verified, 0 errors
=== ATLAS OF LOCATIONS ===
Hidden Verdant Metropolis | Danger Level: 5
Quiet Verdant Metropolis | Danger Level: 8
Verdant Metropolis | Danger Level: 13
Grand Verdant Metropolis | Danger Level: 23
Endless Verdant Metropolis | Danger Level: 33
Titanic Verdant Metropolis | Danger Level: 53
Hidden Verdant Hamlet | Danger Level: 3
Quiet Verdant Hamlet | Danger Level: 6
Verdant Hamlet | Danger Level: 11
Grand Verdant Hamlet | Danger Level: 21
Endless Verdant Hamlet | Danger Level: 31
Titanic Verdant Hamlet | Danger Level: 51
Hidden Verdant Wasteland | Danger Level: 20
Quiet Verdant Wasteland | Danger Level: 23
Verdant Wasteland | Danger Level: 28
Grand Verdant Wasteland | Danger Level: 38
Endless Verdant Wasteland | Danger Level: 48
Titanic Verdant Wasteland | Danger Level: 68
Hidden Verdant Labyrinth | Danger Level: 22
Quiet Verdant Labyrinth | Danger Level: 25
Verdant Labyrinth | Danger Level: 30
Grand Verdant Labyrinth | Danger Level: 40
Endless Verdant Labyrinth | Danger Level: 50
Titanic Verdant Labyrinth | Danger Level: 70
Hidden Verdant Bastion | Danger Level: 17
Quiet Verdant Bastion | Danger Level: 20
Verdant Bastion | Danger Level: 25
Grand Verdant Bastion | Danger Level: 35
Endless Verdant Bastion | Danger Level: 45
Titanic Verdant Bastion | Danger Level: 65
Hidden Verdant Sanctuary | Danger Level: 10
Quiet Verdant Sanctuary | Danger Level: 13
Verdant Sanctuary | Danger Level: 18
Grand Verdant Sanctuary | Danger Level: 28
Endless Verdant Sanctuary | Danger Level: 38
Titanic Verdant Sanctuary | Danger Level: 58
Hidden Verdant Grotto | Danger Level: 14
Quiet Verdant Grotto | Danger Level: 17
Verdant Grotto | Danger Level: 22
Grand Verdant Grotto | Danger Level: 32
Endless Verdant Grotto | Danger Level: 42
Titanic Verdant Grotto | Danger Level: 62
Hidden Verdant Watch | Danger Level: 7
Quiet Verdant Watch | Danger Level: 10
Verdant Watch | Danger Level: 15
Grand Verdant Watch | Danger Level: 25
Endless Verdant Watch | Danger Level: 35
Titanic Verdant Watch | Danger Level: 55

Hidden Scorched Metropolis | Danger Level: 17
Quiet Scorched Metropolis | Danger Level: 20
Scorched Metropolis | Danger Level: 25
Grand Scorched Metropolis | Danger Level: 35
Endless Scorched Metropolis | Danger Level: 45
Titanic Scorched Metropolis | Danger Level: 65
Hidden Scorched Hamlet | Danger Level: 7
Quiet Scorched Hamlet | Danger Level: 10
Scorched Hamlet | Danger Level: 15
Grand Scorched Hamlet | Danger Level: 25
Endless Scorched Hamlet | Danger Level: 35
Titanic Scorched Hamlet | Danger Level: 55
Hidden Scorched Wasteland | Danger Level: 92
Quiet Scorched Wasteland | Danger Level: 95
Scorched Wasteland | Danger Level: 100
Grand Scorched Wasteland | Danger Level: 110
Endless Scorched Wasteland | Danger Level: 120
Titanic Scorched Wasteland | Danger Level: 140
Hidden Scorched Labyrinth | Danger Level: 102
Quiet Scorched Labyrinth | Danger Level: 105
Scorched Labyrinth | Danger Level: 110
Grand Scorched Labyrinth | Danger Level: 120
Endless Scorched Labyrinth | Danger Level: 130
Titanic Scorched Labyrinth | Danger Level: 150
Hidden Scorched Bastion | Danger Level: 77
Quiet Scorched Bastion | Danger Level: 80
Scorched Bastion | Danger Level: 85
Grand Scorched Bastion | Danger Level: 95
Endless Scorched Bastion | Danger Level: 105
Titanic Scorched Bastion | Danger Level: 125
Hidden Scorched Sanctuary | Danger Level: 42
Quiet Scorched Sanctuary | Danger Level: 45
Scorched Sanctuary | Danger Level: 50
Grand Scorched Sanctuary | Danger Level: 60
Endless Scorched Sanctuary | Danger Level: 70
Titanic Scorched Sanctuary | Danger Level: 90
Hidden Scorched Grotto | Danger Level: 62
Quiet Scorched Grotto | Danger Level: 65
Scorched Grotto | Danger Level: 70
Grand Scorched Grotto | Danger Level: 80
Endless Scorched Grotto | Danger Level: 90
Titanic Scorched Grotto | Danger Level: 110
Hidden Scorched Watch | Danger Level: 27
Quiet Scorched Watch | Danger Level: 30
Scorched Watch | Danger Level: 35
Grand Scorched Watch | Danger Level: 45
Endless Scorched Watch | Danger Level: 55
Titanic Scorched Watch | Danger Level: 75
