
Dafny program verifier finished with 18 verified, 0 errors
========================================
   MAGIC ITEMS CODEX - Dafny 4.11
========================================
Total items: 480

Ember Blade | Fire | Sword | Common | Power: 23
Blazing Ember Blade of the Craft | Fire | Sword | Uncommon | Power: 33
Grand Blazing Ember Blade of Fortune | Fire | Sword | Rare | Power: 43
Sovereign Blade of the Inferno | Fire | Sword | Epic | Power: 63
Eternal Ember Blade of the Burning Throne | Fire | Sword | Legendary | Power: 93
Celestial Blade, Scourge of the Sun | Fire | Sword | Mythical | Power: 143
Ember Rod | Fire | Staff | Common | Power: 21
Blazing Ember Rod of the Craft | Fire | Staff | Uncommon | Power: 31
Grand Blazing Ember Rod of Fortune | Fire | Staff | Rare | Power: 41
Sovereign Rod of the Inferno | Fire | Staff | Epic | Power: 61
Eternal Ember Rod of the Burning Throne | Fire | Staff | Legendary | Power: 91
Celestial Rod, Scourge of the Sun | Fire | Staff | Mythical | Power: 141
Ember Band | Fire | Ring | Common | Power: 19
Blazing Ember Band of the Craft | Fire | Ring | Uncommon | Power: 29
Grand Blazing Ember Band of Fortune | Fire | Ring | Rare | Power: 39
Sovereign Band of the Inferno | Fire | Ring | Epic | Power: 59
Eternal Ember Band of the Burning Throne | Fire | Ring | Legendary | Power: 89
Celestial Band, Scourge of the Sun | Fire | Ring | Mythical | Power: 139
Ember Talisman | Fire | Amulet | Common | Power: 20
Blazing Ember Talisman of the Craft | Fire | Amulet | Uncommon | Power: 30
Grand Blazing Ember Talisman of Fortune | Fire | Amulet | Rare | Power: 40
Sovereign Talisman of the Inferno | Fire | Amulet | Epic | Power: 60
Eternal Ember Talisman of the Burning Throne | Fire | Amulet | Legendary | Power: 90
Celestial Talisman, Scourge of the Sun | Fire | Amulet | Mythical | Power: 140
Ember Elixir | Fire | Potion | Common | Power: 17
Blazing Ember Elixir of the Craft | Fire | Potion | Uncommon | Power: 27
Grand Blazing Ember Elixir of Fortune | Fire | Potion | Rare | Power: 37
Sovereign Elixir of the Inferno | Fire | Potion | Epic | Power: 57
Eternal Ember Elixir of the Burning Throne | Fire | Potion | Legendary | Power: 87
Celestial Elixir, Scourge of the Sun | Fire | Potion | Mythical | Power: 137
Ember Scepter | Fire | Wand | Common | Power: 22
Blazing Ember Scepter of the Craft | Fire | Wand | Uncommon | Power: 32
Grand Blazing Ember Scepter of Fortune | Fire | Wand | Rare | Power: 42
Sovereign Scepter of the Inferno | Fire | Wand | Epic | Power: 62
Eternal Ember Scepter of the Burning Throne | Fire | Wand | Legendary | Power: 92
Celestial Scepter, Scourge of the Sun | Fire | Wand | Mythical | Power: 142
Ember Fang | Fire | Dagger | Common | Power: 18
Blazing Ember Fang of the Craft | Fire | Dagger | Uncommon | Power: 28
Grand Blazing Ember Fang of Fortune | Fire | Dagger | Rare | Power: 38
Sovereign Fang of the Inferno | Fire | Dagger | Epic | Power: 58
