
Dafny program verifier finished with 12 verified, 0 errors
=== NPC DIRECTORY ===
Total entries: 576

Smith Human | Wealth: 800g | Influence: 35
Smith Human | Wealth: 800g | Influence: 30
Smith Human | Wealth: 800g | Influence: 15
Smith Human | Wealth: 800g | Influence: 25
Smith Human | Wealth: 800g | Influence: 20
Smith Human | Wealth: 800g | Influence: 10
Smith Human | Wealth: 800g | Influence: 30
Smith Human | Wealth: 800g | Influence: 20
Smith Human | Wealth: 800g | Influence: 0
Trader Human | Wealth: 3000g | Influence: 55
Trader Human | Wealth: 3000g | Influence: 50
Trader Human | Wealth: 3000g | Influence: 35
Trader Human | Wealth: 3000g | Influence: 45
Trader Human | Wealth: 3000g | Influence: 40
Trader Human | Wealth: 3000g | Influence: 30
Trader Human | Wealth: 3000g | Influence: 50
Trader Human | Wealth: 3000g | Influence: 40
Trader Human | Wealth: 3000g | Influence: 20
Captain Human | Wealth: 500g | Influence: 45
Captain Human | Wealth: 500g | Influence: 40
Captain Human | Wealth: 500g | Influence: 25
Captain Human | Wealth: 500g | Influence: 35
Captain Human | Wealth: 500g | Influence: 30
Captain Human | Wealth: 500g | Influence: 20
Captain Human | Wealth: 500g | Influence: 40
Captain Human | Wealth: 500g | Influence: 30
Captain Human | Wealth: 500g | Influence: 10
Citizen Human | Wealth: 100g | Influence: 10
Citizen Human | Wealth: 100g | Influence: 10
Citizen Human | Wealth: 100g | Influence: 0
Citizen Human | Wealth: 100g | Influence: 10
Citizen Human | Wealth: 100g | Influence: 5
Citizen Human | Wealth: 100g | Influence: 0
Citizen Human | Wealth: 100g | Influence: 10
Citizen Human | Wealth: 100g | Influence: 5
Citizen Human | Wealth: 100g | Influence: 0
Master Human | Wealth: 1000g | Influence: 65
Master Human | Wealth: 1000g | Influence: 60
Master Human | Wealth: 1000g | Influence: 45
Master Human | Wealth: 1000g | Influence: 55
Master Human | Wealth: 1000g | Influence: 50
Master Human | Wealth: 1000g | Influence: 40
Master Human | Wealth: 1000g | Influence: 60
Master Human | Wealth: 1000g | Influence: 50
Master Human | Wealth: 1000g | Influence: 30
Lord Human | Wealth: 10000g | Influence: 95
Lord Human | Wealth: 10000g | Influence: 90
Lord Human | Wealth: 10000g | Influence: 75
Lord Human | Wealth: 10000g | Influence: 85
Lord Human | Wealth: 10000g | Influence: 80
Lord Human | Wealth: 10000g | Influence: 70
Lord Human | Wealth: 10000g | Influence: 90
Lord Human | Wealth: 10000g | Influence: 80
Lord Human | Wealth: 10000g | Influence: 60
Father Human | Wealth: 1500g | Influence: 75
Father Human | Wealth: 1500g | Influence: 70
Father Human | Wealth: 1500g | Influence: 55
Father Human | Wealth: 1500g | Influence: 65
Father Human | Wealth: 1500g | Influence: 60
Father Human | Wealth: 1500g | Influence: 50
Father Human | Wealth: 1500g | Influence: 70
Father Human | Wealth: 1500g | Influence: 60
Father Human | Wealth: 1500g | Influence: 40
Shadow Human | Wealth: 300g | Influence: 25
Shadow Human | Wealth: 300g | Influence: 20
Shadow Human | Wealth: 300g | Influence: 5
Shadow Human | Wealth: 300g | Influence: 15
Shadow Human | Wealth: 300g | Influence: 10
Shadow Human | Wealth: 300g | Influence: 0
Shadow Human | Wealth: 300g | Influence: 20
Shadow Human | Wealth: 300g | Influence: 10
Shadow Human | Wealth: 300g | Influence: 0

Smith Elf | Wealth: 960g | Influence: 35
Smith Elf | Wealth: 960g | Influence: 30
Smith Elf | Wealth: 960g | Influence: 15
Smith Elf | Wealth: 960g | Influence: 25
Smith Elf | Wealth: 960g | Influence: 20
Smith Elf | Wealth: 960g | Influence: 10
Smith Elf | Wealth: 960g | Influence: 30
Smith Elf | Wealth: 960g | Influence: 20
Smith Elf | Wealth: 960g | Influence: 0
Trader Elf | Wealth: 3600g | Influence: 55
Trader Elf | Wealth: 3600g | Influence: 50
Trader Elf | Wealth: 3600g | Influence: 35
Trader Elf | Wealth: 3600g | Influence: 45
Trader Elf | Wealth: 3600g | Influence: 40
Trader Elf | Wealth: 3600g | Influence: 30
Trader Elf | Wealth: 3600g | Influence: 50
Trader Elf | Wealth: 3600g | Influence: 40
Trader Elf | Wealth: 3600g | Influence: 20
Captain Elf | Wealth: 600g | Influence: 45
Captain Elf | Wealth: 600g | Influence: 40
Captain Elf | Wealth: 600g | Influence: 25
Captain Elf | Wealth: 600g | Influence: 35
Captain Elf | Wealth: 600g | Influence: 30
Captain Elf | Wealth: 600g | Influence: 20
Captain Elf | Wealth: 600g | Influence: 40
Captain Elf | Wealth: 600g | Influence: 30
Captain Elf | Wealth: 600g | Influence: 10
Citizen Elf | Wealth: 120g | Influence: 10
Citizen Elf | Wealth: 120g | Influence: 10
Citizen Elf | Wealth: 120g | Influence: 0
Citizen Elf | Wealth: 120g | Influence: 10
Citizen Elf | Wealth: 120g | Influence: 5
Citizen Elf | Wealth: 120g | Influence: 0
Citizen Elf | Wealth: 120g | Influence: 10
Citizen Elf | Wealth: 120g | Influence: 5
Citizen Elf | Wealth: 120g | Influence: 0
