
Dafny program verifier finished with 21 verified, 0 errors
=== GACHA PITY STATE MACHINE ===
HardPity5star:90 | HardPity4star:10 | SoftPityStart:74
Total valid states: 2002

Since5star:0 | Since4star:0 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:1 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:2 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:3 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:4 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:5 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:6 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:7 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:8 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:9 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:0 | Since4star:10 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:TRIGGER
Since5star:1 | Since4star:0 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:1 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:2 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:3 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:4 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:5 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:6 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:7 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:8 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:9 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:1 | Since4star:10 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:TRIGGER
Since5star:2 | Since4star:0 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:1 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:2 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:3 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:4 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:5 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:6 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:7 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:8 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:9 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
Since5star:2 | Since4star:10 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:TRIGGER
Since5star:3 | Since4star:0 | Guaranteed:no | SoftPity:no | HardPity5:no | HardPity4:no
