
Dafny program verifier finished with 5 verified, 0 errors
=== GACHA PULL SCENARIOS ===
Total scenarios: 182

Since5star:0 | Guaranteed:no | PullsLeft:90 | SoftPity:no | AtHardPity:no
Since5star:1 | Guaranteed:no | PullsLeft:89 | SoftPity:no | AtHardPity:no
Since5star:2 | Guaranteed:no | PullsLeft:88 | SoftPity:no | AtHardPity:no
Since5star:3 | Guaranteed:no | PullsLeft:87 | SoftPity:no | AtHardPity:no
Since5star:4 | Guaranteed:no | PullsLeft:86 | SoftPity:no | AtHardPity:no
Since5star:5 | Guaranteed:no | PullsLeft:85 | SoftPity:no | AtHardPity:no
Since5star:6 | Guaranteed:no | PullsLeft:84 | SoftPity:no | AtHardPity:no
Since5star:7 | Guaranteed:no | PullsLeft:83 | SoftPity:no | AtHardPity:no
Since5star:8 | Guaranteed:no | PullsLeft:82 | SoftPity:no | AtHardPity:no
Since5star:9 | Guaranteed:no | PullsLeft:81 | SoftPity:no | AtHardPity:no
Since5star:10 | Guaranteed:no | PullsLeft:80 | SoftPity:no | AtHardPity:no
Since5star:11 | Guaranteed:no | PullsLeft:79 | SoftPity:no | AtHardPity:no
Since5star:12 | Guaranteed:no | PullsLeft:78 | SoftPity:no | AtHardPity:no
Since5star:13 | Guaranteed:no | PullsLeft:77 | SoftPity:no | AtHardPity:no
Since5star:14 | Guaranteed:no | PullsLeft:76 | SoftPity:no | AtHardPity:no
Since5star:15 | Guaranteed:no | PullsLeft:75 | SoftPity:no | AtHardPity:no
Since5star:16 | Guaranteed:no | PullsLeft:74 | SoftPity:no | AtHardPity:no
Since5star:17 | Guaranteed:no | PullsLeft:73 | SoftPity:no | AtHardPity:no
Since5star:18 | Guaranteed:no | PullsLeft:72 | SoftPity:no | AtHardPity:no
Since5star:19 | Guaranteed:no | PullsLeft:71 | SoftPity:no | AtHardPity:no
Since5star:20 | Guaranteed:no | PullsLeft:70 | SoftPity:no | AtHardPity:no
Since5star:21 | Guaranteed:no | PullsLeft:69 | SoftPity:no | AtHardPity:no
Since5star:22 | Guaranteed:no | PullsLeft:68 | SoftPity:no | AtHardPity:no
Since5star:23 | Guaranteed:no | PullsLeft:67 | SoftPity:no | AtHardPity:no
Since5star:24 | Guaranteed:no | PullsLeft:66 | SoftPity:no | AtHardPity:no
Since5star:25 | Guaranteed:no | PullsLeft:65 | SoftPity:no | AtHardPity:no
Since5star:26 | Guaranteed:no | PullsLeft:64 | SoftPity:no | AtHardPity:no
Since5star:27 | Guaranteed:no | PullsLeft:63 | SoftPity:no | AtHardPity:no
Since5star:28 | Guaranteed:no | PullsLeft:62 | SoftPity:no | AtHardPity:no
Since5star:29 | Guaranteed:no | PullsLeft:61 | SoftPity:no | AtHardPity:no
Since5star:30 | Guaranteed:no | PullsLeft:60 | SoftPity:no | AtHardPity:no
Since5star:31 | Guaranteed:no | PullsLeft:59 | SoftPity:no | AtHardPity:no
Since5star:32 | Guaranteed:no | PullsLeft:58 | SoftPity:no | AtHardPity:no
Since5star:33 | Guaranteed:no | PullsLeft:57 | SoftPity:no | AtHardPity:no
Since5star:34 | Guaranteed:no | PullsLeft:56 | SoftPity:no | AtHardPity:no
Since5star:35 | Guaranteed:no | PullsLeft:55 | SoftPity:no | AtHardPity:no
Since5star:36 | Guaranteed:no | PullsLeft:54 | SoftPity:no | AtHardPity:no
Since5star:37 | Guaranteed:no | PullsLeft:53 | SoftPity:no | AtHardPity:no
Since5star:38 | Guaranteed:no | PullsLeft:52 | SoftPity:no | AtHardPity:no
Since5star:39 | Guaranteed:no | PullsLeft:51 | SoftPity:no | AtHardPity:no
Since5star:40 | Guaranteed:no | PullsLeft:50 | SoftPity:no | AtHardPity:no
Since5star:41 | Guaranteed:no | PullsLeft:49 | SoftPity:no | AtHardPity:no
Since5star:42 | Guaranteed:no | PullsLeft:48 | SoftPity:no | AtHardPity:no
Since5star:43 | Guaranteed:no | PullsLeft:47 | SoftPity:no | AtHardPity:no
Since5star:44 | Guaranteed:no | PullsLeft:46 | SoftPity:no | AtHardPity:no
Since5star:45 | Guaranteed:no | PullsLeft:45 | SoftPity:no | AtHardPity:no
Since5star:46 | Guaranteed:no | PullsLeft:44 | SoftPity:no | AtHardPity:no
Since5star:47 | Guaranteed:no | PullsLeft:43 | SoftPity:no | AtHardPity:no
Since5star:48 | Guaranteed:no | PullsLeft:42 | SoftPity:no | AtHardPity:no
Since5star:49 | Guaranteed:no | PullsLeft:41 | SoftPity:no | AtHardPity:no
Since5star:50 | Guaranteed:no | PullsLeft:40 | SoftPity:no | AtHardPity:no
Since5star:51 | Guaranteed:no | PullsLeft:39 | SoftPity:no | AtHardPity:no
Since5star:52 | Guaranteed:no | PullsLeft:38 | SoftPity:no | AtHardPity:no
Since5star:53 | Guaranteed:no | PullsLeft:37 | SoftPity:no | AtHardPity:no
Since5star:54 | Guaranteed:no | PullsLeft:36 | SoftPity:no | AtHardPity:no
Since5star:55 | Guaranteed:no | PullsLeft:35 | SoftPity:no | AtHardPity:no
Since5star:56 | Guaranteed:no | PullsLeft:34 | SoftPity:no | AtHardPity:no
Since5star:57 | Guaranteed:no | PullsLeft:33 | SoftPity:no | AtHardPity:no
Since5star:58 | Guaranteed:no | PullsLeft:32 | SoftPity:no | AtHardPity:no
Since5star:59 | Guaranteed:no | PullsLeft:31 | SoftPity:no | AtHardPity:no
Since5star:60 | Guaranteed:no | PullsLeft:30 | SoftPity:no | AtHardPity:no
Since5star:61 | Guaranteed:no | PullsLeft:29 | SoftPity:no | AtHardPity:no
Since5star:62 | Guaranteed:no | PullsLeft:28 | SoftPity:no | AtHardPity:no
Since5star:63 | Guaranteed:no | PullsLeft:27 | SoftPity:no | AtHardPity:no
Since5star:64 | Guaranteed:no | PullsLeft:26 | SoftPity:no | AtHardPity:no
Since5star:65 | Guaranteed:no | PullsLeft:25 | SoftPity:no | AtHardPity:no
Since5star:66 | Guaranteed:no | PullsLeft:24 | SoftPity:no | AtHardPity:no
Since5star:67 | Guaranteed:no | PullsLeft:23 | SoftPity:no | AtHardPity:no
Since5star:68 | Guaranteed:no | PullsLeft:22 | SoftPity:no | AtHardPity:no
Since5star:69 | Guaranteed:no | PullsLeft:21 | SoftPity:no | AtHardPity:no
Since5star:70 | Guaranteed:no | PullsLeft:20 | SoftPity:no | AtHardPity:no
Since5star:71 | Guaranteed:no | PullsLeft:19 | SoftPity:no | AtHardPity:no
Since5star:72 | Guaranteed:no | PullsLeft:18 | SoftPity:no | AtHardPity:no
Since5star:73 | Guaranteed:no | PullsLeft:17 | SoftPity:no | AtHardPity:no
Since5star:74 | Guaranteed:no | PullsLeft:16 | SoftPity:ACTIVE | AtHardPity:no
Since5star:75 | Guaranteed:no | PullsLeft:15 | SoftPity:ACTIVE | AtHardPity:no
Since5star:76 | Guaranteed:no | PullsLeft:14 | SoftPity:ACTIVE | AtHardPity:no
Since5star:77 | Guaranteed:no | PullsLeft:13 | SoftPity:ACTIVE | AtHardPity:no
Since5star:78 | Guaranteed:no | PullsLeft:12 | SoftPity:ACTIVE | AtHardPity:no
Since5star:79 | Guaranteed:no | PullsLeft:11 | SoftPity:ACTIVE | AtHardPity:no
Since5star:80 | Guaranteed:no | PullsLeft:10 | SoftPity:ACTIVE | AtHardPity:no
Since5star:81 | Guaranteed:no | PullsLeft:9 | SoftPity:ACTIVE | AtHardPity:no
Since5star:82 | Guaranteed:no | PullsLeft:8 | SoftPity:ACTIVE | AtHardPity:no
Since5star:83 | Guaranteed:no | PullsLeft:7 | SoftPity:ACTIVE | AtHardPity:no
Since5star:84 | Guaranteed:no | PullsLeft:6 | SoftPity:ACTIVE | AtHardPity:no
Since5star:85 | Guaranteed:no | PullsLeft:5 | SoftPity:ACTIVE | AtHardPity:no
Since5star:86 | Guaranteed:no | PullsLeft:4 | SoftPity:ACTIVE | AtHardPity:no
Since5star:87 | Guaranteed:no | PullsLeft:3 | SoftPity:ACTIVE | AtHardPity:no
Since5star:88 | Guaranteed:no | PullsLeft:2 | SoftPity:ACTIVE | AtHardPity:no
Since5star:89 | Guaranteed:no | PullsLeft:1 | SoftPity:ACTIVE | AtHardPity:no
Since5star:90 | Guaranteed:no | PullsLeft:0 | SoftPity:ACTIVE | AtHardPity:NOW
Since5star:0 | Guaranteed:YES | PullsLeft:90 | SoftPity:no | AtHardPity:no
Since5star:1 | Guaranteed:YES | PullsLeft:89 | SoftPity:no | AtHardPity:no
Since5star:2 | Guaranteed:YES | PullsLeft:88 | SoftPity:no | AtHardPity:no
Since5star:3 | Guaranteed:YES | PullsLeft:87 | SoftPity:no | AtHardPity:no
Since5star:4 | Guaranteed:YES | PullsLeft:86 | SoftPity:no | AtHardPity:no
Since5star:5 | Guaranteed:YES | PullsLeft:85 | SoftPity:no | AtHardPity:no
Since5star:6 | Guaranteed:YES | PullsLeft:84 | SoftPity:no | AtHardPity:no
Since5star:7 | Guaranteed:YES | PullsLeft:83 | SoftPity:no | AtHardPity:no
Since5star:8 | Guaranteed:YES | PullsLeft:82 | SoftPity:no | AtHardPity:no
Since5star:9 | Guaranteed:YES | PullsLeft:81 | SoftPity:no | AtHardPity:no
Since5star:10 | Guaranteed:YES | PullsLeft:80 | SoftPity:no | AtHardPity:no
Since5star:11 | Guaranteed:YES | PullsLeft:79 | SoftPity:no | AtHardPity:no
Since5star:12 | Guaranteed:YES | PullsLeft:78 | SoftPity:no | AtHardPity:no
Since5star:13 | Guaranteed:YES | PullsLeft:77 | SoftPity:no | AtHardPity:no
Since5star:14 | Guaranteed:YES | PullsLeft:76 | SoftPity:no | AtHardPity:no
Since5star:15 | Guaranteed:YES | PullsLeft:75 | SoftPity:no | AtHardPity:no
Since5star:16 | Guaranteed:YES | PullsLeft:74 | SoftPity:no | AtHardPity:no
Since5star:17 | Guaranteed:YES | PullsLeft:73 | SoftPity:no | AtHardPity:no
Since5star:18 | Guaranteed:YES | PullsLeft:72 | SoftPity:no | AtHardPity:no
Since5star:19 | Guaranteed:YES | PullsLeft:71 | SoftPity:no | AtHardPity:no
Since5star:20 | Guaranteed:YES | PullsLeft:70 | SoftPity:no | AtHardPity:no
Since5star:21 | Guaranteed:YES | PullsLeft:69 | SoftPity:no | AtHardPity:no
Since5star:22 | Guaranteed:YES | PullsLeft:68 | SoftPity:no | AtHardPity:no
Since5star:23 | Guaranteed:YES | PullsLeft:67 | SoftPity:no | AtHardPity:no
Since5star:24 | Guaranteed:YES | PullsLeft:66 | SoftPity:no | AtHardPity:no
Since5star:25 | Guaranteed:YES | PullsLeft:65 | SoftPity:no | AtHardPity:no
Since5star:26 | Guaranteed:YES | PullsLeft:64 | SoftPity:no | AtHardPity:no
Since5star:27 | Guaranteed:YES | PullsLeft:63 | SoftPity:no | AtHardPity:no
Since5star:28 | Guaranteed:YES | PullsLeft:62 | SoftPity:no | AtHardPity:no
Since5star:29 | Guaranteed:YES | PullsLeft:61 | SoftPity:no | AtHardPity:no
Since5star:30 | Guaranteed:YES | PullsLeft:60 | SoftPity:no | AtHardPity:no
Since5star:31 | Guaranteed:YES | PullsLeft:59 | SoftPity:no | AtHardPity:no
Since5star:32 | Guaranteed:YES | PullsLeft:58 | SoftPity:no | AtHardPity:no
Since5star:33 | Guaranteed:YES | PullsLeft:57 | SoftPity:no | AtHardPity:no
Since5star:34 | Guaranteed:YES | PullsLeft:56 | SoftPity:no | AtHardPity:no
Since5star:35 | Guaranteed:YES | PullsLeft:55 | SoftPity:no | AtHardPity:no
Since5star:36 | Guaranteed:YES | PullsLeft:54 | SoftPity:no | AtHardPity:no
Since5star:37 | Guaranteed:YES | PullsLeft:53 | SoftPity:no | AtHardPity:no
Since5star:38 | Guaranteed:YES | PullsLeft:52 | SoftPity:no | AtHardPity:no
Since5star:39 | Guaranteed:YES | PullsLeft:51 | SoftPity:no | AtHardPity:no
Since5star:40 | Guaranteed:YES | PullsLeft:50 | SoftPity:no | AtHardPity:no
Since5star:41 | Guaranteed:YES | PullsLeft:49 | SoftPity:no | AtHardPity:no
Since5star:42 | Guaranteed:YES | PullsLeft:48 | SoftPity:no | AtHardPity:no
Since5star:43 | Guaranteed:YES | PullsLeft:47 | SoftPity:no | AtHardPity:no
Since5star:44 | Guaranteed:YES | PullsLeft:46 | SoftPity:no | AtHardPity:no
Since5star:45 | Guaranteed:YES | PullsLeft:45 | SoftPity:no | AtHardPity:no
Since5star:46 | Guaranteed:YES | PullsLeft:44 | SoftPity:no | AtHardPity:no
Since5star:47 | Guaranteed:YES | PullsLeft:43 | SoftPity:no | AtHardPity:no
Since5star:48 | Guaranteed:YES | PullsLeft:42 | SoftPity:no | AtHardPity:no
Since5star:49 | Guaranteed:YES | PullsLeft:41 | SoftPity:no | AtHardPity:no
Since5star:50 | Guaranteed:YES | PullsLeft:40 | SoftPity:no | AtHardPity:no
Since5star:51 | Guaranteed:YES | PullsLeft:39 | SoftPity:no | AtHardPity:no
Since5star:52 | Guaranteed:YES | PullsLeft:38 | SoftPity:no | AtHardPity:no
Since5star:53 | Guaranteed:YES | PullsLeft:37 | SoftPity:no | AtHardPity:no
Since5star:54 | Guaranteed:YES | PullsLeft:36 | SoftPity:no | AtHardPity:no
Since5star:55 | Guaranteed:YES | PullsLeft:35 | SoftPity:no | AtHardPity:no
Since5star:56 | Guaranteed:YES | PullsLeft:34 | SoftPity:no | AtHardPity:no
Since5star:57 | Guaranteed:YES | PullsLeft:33 | SoftPity:no | AtHardPity:no
Since5star:58 | Guaranteed:YES | PullsLeft:32 | SoftPity:no | AtHardPity:no
Since5star:59 | Guaranteed:YES | PullsLeft:31 | SoftPity:no | AtHardPity:no
Since5star:60 | Guaranteed:YES | PullsLeft:30 | SoftPity:no | AtHardPity:no
Since5star:61 | Guaranteed:YES | PullsLeft:29 | SoftPity:no | AtHardPity:no
Since5star:62 | Guaranteed:YES | PullsLeft:28 | SoftPity:no | AtHardPity:no
Since5star:63 | Guaranteed:YES | PullsLeft:27 | SoftPity:no | AtHardPity:no
Since5star:64 | Guaranteed:YES | PullsLeft:26 | SoftPity:no | AtHardPity:no
Since5star:65 | Guaranteed:YES | PullsLeft:25 | SoftPity:no | AtHardPity:no
Since5star:66 | Guaranteed:YES | PullsLeft:24 | SoftPity:no | AtHardPity:no
