
Dafny program verifier finished with 19 verified, 0 errors
╔══════════════════════════════════════════════════════════════════╗
║        TOP 100 HARDEST-TO-OBTAIN ITEMS                          ║
╠══════════════════════════════════════════════════════════════════╣
║  Score  = ref * 1000 + substat_priority * 10                    ║
║  Pulls  = ref * 160  (hard_pity=80 * 2 epitomized copies)       ║
║  Primos = pulls * 160                                            ║
║  Tier 1 (ranks   1-35): R5 ref=5  score 5010-5070               ║
║  Tier 2 (ranks  36-70): R5 ref=4  score 4010-4070               ║
║  Tier 3 (ranks 71-100): R5 ref=3  score 3020-3070  (no DEF%)    ║
╚══════════════════════════════════════════════════════════════════╝

[#1] Primordial Lethal Edge R5 | ATK:48 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#2] Primordial Lethal Tome R5 | ATK:49 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#3] Primordial Lethal Thrust R5 | ATK:48 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#4] Primordial Lethal Impact R5 | ATK:46 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#5] Primordial Lethal Shot R5 | ATK:46 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#6] Primordial Keen Edge R5 | ATK:48 | CritRate:35 | Score:5060 | WorstCase:800 pulls | ~128000 primos
[#7] Primordial Keen Tome R5 | ATK:49 | CritRate:35 | Score:5060 | WorstCase:800 pulls | ~128000 primos
[#8] Primordial Keen Thrust R5 | ATK:48 | CritRate:35 | Score:5060 | WorstCase:800 pulls | ~128000 primos
[#9] Primordial Keen Impact R5 | ATK:46 | CritRate:35 | Score:5060 | WorstCase:800 pulls | ~128000 primos
[#10] Primordial Keen Shot R5 | ATK:46 | CritRate:35 | Score:5060 | WorstCase:800 pulls | ~128000 primos
[#11] Primordial Sharp Edge R5 | ATK:48 | ATK%:55 | Score:5050 | WorstCase:800 pulls | ~128000 primos
[#12] Primordial Sharp Tome R5 | ATK:49 | ATK%:55 | Score:5050 | WorstCase:800 pulls | ~128000 primos
[#13] Primordial Sharp Thrust R5 | ATK:48 | ATK%:55 | Score:5050 | WorstCase:800 pulls | ~128000 primos
[#14] Primordial Sharp Impact R5 | ATK:46 | ATK%:55 | Score:5050 | WorstCase:800 pulls | ~128000 primos
[#15] Primordial Sharp Shot R5 | ATK:46 | ATK%:55 | Score:5050 | WorstCase:800 pulls | ~128000 primos
[#16] Primordial Flowing Edge R5 | ATK:48 | ER:60 | Score:5040 | WorstCase:800 pulls | ~128000 primos
[#17] Primordial Flowing Tome R5 | ATK:49 | ER:60 | Score:5040 | WorstCase:800 pulls | ~128000 primos
[#18] Primordial Flowing Thrust R5 | ATK:48 | ER:60 | Score:5040 | WorstCase:800 pulls | ~128000 primos
[#19] Primordial Flowing Impact R5 | ATK:46 | ER:60 | Score:5040 | WorstCase:800 pulls | ~128000 primos
[#20] Primordial Flowing Shot R5 | ATK:46 | ER:60 | Score:5040 | WorstCase:800 pulls | ~128000 primos
[#21] Primordial Ancient Edge R5 | ATK:48 | EM:220 | Score:5030 | WorstCase:800 pulls | ~128000 primos
[#22] Primordial Ancient Tome R5 | ATK:49 | EM:220 | Score:5030 | WorstCase:800 pulls | ~128000 primos
[#23] Primordial Ancient Thrust R5 | ATK:48 | EM:220 | Score:5030 | WorstCase:800 pulls | ~128000 primos
[#24] Primordial Ancient Impact R5 | ATK:46 | EM:220 | Score:5030 | WorstCase:800 pulls | ~128000 primos
[#25] Primordial Ancient Shot R5 | ATK:46 | EM:220 | Score:5030 | WorstCase:800 pulls | ~128000 primos
