
Dafny program verifier finished with 19 verified, 0 errors
=== GACHA WEAPON DATABASE ===
Total: 525

Sharp Edge | ATK:40 | ATK%:6 | Ref:R1 [3star]
Sharp Edge R2 | ATK:40 | ATK%:12 | Ref:R2 [3star]
Sharp Edge R3 | ATK:40 | ATK%:18 | Ref:R3 [3star]
Sharp Edge R4 | ATK:40 | ATK%:24 | Ref:R4 [3star]
Sharp Edge R5 | ATK:40 | ATK%:30 | Ref:R5 [3star]
Keen Edge | ATK:40 | CritRate:4 | Ref:R1 [3star]
Keen Edge R2 | ATK:40 | CritRate:8 | Ref:R2 [3star]
Keen Edge R3 | ATK:40 | CritRate:12 | Ref:R3 [3star]
Keen Edge R4 | ATK:40 | CritRate:16 | Ref:R4 [3star]
Keen Edge R5 | ATK:40 | CritRate:20 | Ref:R5 [3star]
Lethal Edge | ATK:40 | CritDMG:8 | Ref:R1 [3star]
Lethal Edge R2 | ATK:40 | CritDMG:16 | Ref:R2 [3star]
Lethal Edge R3 | ATK:40 | CritDMG:24 | Ref:R3 [3star]
Lethal Edge R4 | ATK:40 | CritDMG:32 | Ref:R4 [3star]
Lethal Edge R5 | ATK:40 | CritDMG:40 | Ref:R5 [3star]
Ancient Edge | ATK:40 | EM:20 | Ref:R1 [3star]
Ancient Edge R2 | ATK:40 | EM:40 | Ref:R2 [3star]
Ancient Edge R3 | ATK:40 | EM:60 | Ref:R3 [3star]
Ancient Edge R4 | ATK:40 | EM:80 | Ref:R4 [3star]
Ancient Edge R5 | ATK:40 | EM:100 | Ref:R5 [3star]
Flowing Edge | ATK:40 | ER:7 | Ref:R1 [3star]
Flowing Edge R2 | ATK:40 | ER:14 | Ref:R2 [3star]
Flowing Edge R3 | ATK:40 | ER:21 | Ref:R3 [3star]
Flowing Edge R4 | ATK:40 | ER:28 | Ref:R4 [3star]
Flowing Edge R5 | ATK:40 | ER:35 | Ref:R5 [3star]
Sturdy Edge | ATK:40 | HP%:6 | Ref:R1 [3star]
Sturdy Edge R2 | ATK:40 | HP%:12 | Ref:R2 [3star]
Sturdy Edge R3 | ATK:40 | HP%:18 | Ref:R3 [3star]
Sturdy Edge R4 | ATK:40 | HP%:24 | Ref:R4 [3star]
Sturdy Edge R5 | ATK:40 | HP%:30 | Ref:R5 [3star]
Guarded Edge | ATK:40 | DEF%:7 | Ref:R1 [3star]
Guarded Edge R2 | ATK:40 | DEF%:14 | Ref:R2 [3star]
Guarded Edge R3 | ATK:40 | DEF%:21 | Ref:R3 [3star]
Guarded Edge R4 | ATK:40 | DEF%:28 | Ref:R4 [3star]
Guarded Edge R5 | ATK:40 | DEF%:35 | Ref:R5 [3star]
Prototype Sharp Edge | ATK:44 | ATK%:9 | Ref:R1 [4star]
Prototype Sharp Edge R2 | ATK:44 | ATK%:18 | Ref:R2 [4star]
Prototype Sharp Edge R3 | ATK:44 | ATK%:27 | Ref:R3 [4star]
Prototype Sharp Edge R4 | ATK:44 | ATK%:36 | Ref:R4 [4star]
Prototype Sharp Edge R5 | ATK:44 | ATK%:45 | Ref:R5 [4star]
Prototype Keen Edge | ATK:44 | CritRate:6 | Ref:R1 [4star]
Prototype Keen Edge R2 | ATK:44 | CritRate:12 | Ref:R2 [4star]
Prototype Keen Edge R3 | ATK:44 | CritRate:18 | Ref:R3 [4star]
Prototype Keen Edge R4 | ATK:44 | CritRate:24 | Ref:R4 [4star]
Prototype Keen Edge R5 | ATK:44 | CritRate:30 | Ref:R5 [4star]
